Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/05  04:00:00,477182.8111461708,970324.8089201251,132167.29002034522
 01/05  05:00:00,477081.6425987802,960955.5695720288,126539.10081917162
 01/05  06:00:00,477669.80015425803,937180.2358408102,256624.68035537217
 01/05  07:00:00,460934.91544986115,963194.7916671518,742219.8842467458
 01/05  08:00:00,438554.2885061966,909816.7464942776,745317.5075723891
 01/05  09:00:00,446573.7370345723,834663.3135250122,762075.6335026398
 01/05  10:00:00,904914.1875343742,947384.8587730677,819470.9279598173
 01/05  11:00:00,1014698.7752486033,866542.0301961895,684640.0806217995
 01/05  12:00:00,1079349.4275166886,860255.474781897,658724.7567487219
 01/05  13:00:00,1095272.9578403514,854973.3994848226,598646.5836830728
 01/05  14:00:00,1163826.1493546288,820051.0450008814,502018.3118139021
 01/05  15:00:00,1164320.5659513057,802033.5796475605,511506.9213622707
 01/05  16:00:00,1239322.296308741,779821.856446875,518908.2064603597
 01/05  17:00:00,1152220.0281181163,877493.9000223904,539270.8497134433
 01/05  18:00:00,1099809.9543864806,937760.7768252164,580873.5748828257
 01/05  19:00:00,684337.9224755114,634700.8923609059,629964.2218142217
 01/05  20:00:00,670944.0985606794,642630.8935051071,700989.6649895353
 01/05  21:00:00,586455.3190894455,645194.8877827985,563578.335981199
 01/05  22:00:00,590485.9022997507,590526.1913479188,535831.6075417143
 01/05  23:00:00,543460.7811725017,602740.5449194785,455869.2753290258
 01/05  24:00:00,513417.7100264292,749095.154334423,289726.6166112647
 01/06  01:00:00,475418.32613952673,831412.032639115,65766.22395748105
 01/06  02:00:00,452850.2079866,879719.8732630605,208549.87510818013
 01/06  03:00:00,442748.90187244874,918013.3826537982,47951.07876286611
 01/06  04:00:00,442696.4419013672,936330.9834889573,84534.10826222367
 01/06  05:00:00,444448.99096504506,939394.335360202,174262.333570954
 01/06  06:00:00,423919.55738844676,915432.1076953914,279658.6547314439
 01/06  07:00:00,415488.6243318328,948710.2287562628,698955.5389599251
 01/06  08:00:00,432814.68620351935,804643.4872459724,726271.5553581855
 01/06  09:00:00,457762.5901914194,679080.0079797431,816667.7956796617
 01/06  10:00:00,815370.0285731282,920826.209965879,789328.3913869336
 01/06  11:00:00,855757.4090944311,862916.9249682198,698351.673940416
 01/06  12:00:00,968496.7703153015,740942.5365222351,654148.3491582619
 01/06  13:00:00,1216801.719460973,664873.767814568,520356.49560414517
 01/06  14:00:00,1531581.1210148362,638869.6935968804,584741.582745954
 01/06  15:00:00,1671295.4857998672,621960.2522214766,449101.0828162562
 01/06  16:00:00,1866028.1927370953,604918.8951258439,565477.6532310095
 01/06  17:00:00,1408198.4277146854,713143.1508657833,499677.29139611294
 01/06  18:00:00,1104319.2471994956,797849.946284482,615617.5054855992
 01/06  19:00:00,665510.8724839981,512610.2253708567,644404.4012188643
 01/06  20:00:00,645554.0644847167,536242.581362517,701670.7616051249
 01/06  21:00:00,513546.9741918725,573064.0972340438,586517.4076464594
 01/06  22:00:00,471488.9560620706,584611.1035011011,498617.98897794104
 01/06  23:00:00,434981.675292053,622561.4595555611,408407.8952793355
 01/06  24:00:00,425084.9673709973,717390.0855525197,294996.3166733441
 01/07  01:00:00,427374.5245279467,754104.9010200683,157582.2046156733
 01/07  02:00:00,453694.0603581212,784618.8943105813,121118.42887909281
 01/07  03:00:00,429662.89013048453,837083.067030114,120421.2196839111
 01/07  04:00:00,426835.81016175204,851153.6607128793,55624.725369449436
 01/07  05:00:00,378427.6179826364,884259.5965271434,149569.1592920208
 01/07  06:00:00,361159.6741014548,927251.1464397954,257741.52487118408
 01/07  07:00:00,360121.04097544774,1008871.4324683936,659854.4416623092
 01/07  08:00:00,371632.6182542784,954624.6867135643,754269.5039867425
 01/07  09:00:00,378893.7053941396,811046.2338076093,772915.4189752662
 01/07  10:00:00,684987.2339659235,1034363.5067823865,648611.80643479
 01/07  11:00:00,737409.2905268493,962852.3146736952,656035.4498617888
 01/07  12:00:00,818637.4453204677,867930.8478632764,541509.9571305111
 01/07  13:00:00,872209.4603964564,844473.4822031045,448103.10477118817
 01/07  14:00:00,866733.3486496913,842609.6743457905,467737.79445289675
 01/07  15:00:00,853464.9743772035,841175.3883920641,378688.71609536716
