Date/Time,Hourly Space Cooling load (W),Hourly Space Heating load (W),Hourly DHW load (W)
 01/02  04:00:00,7125170.803382953,19128352.298295207,568380.0008811046
 01/02  05:00:00,7391266.920199385,19232102.028130684,704879.2288065641
 01/02  06:00:00,7160938.687181777,19318536.35410456,1544358.2953749585
 01/02  07:00:00,6642113.030247137,27988472.51251914,3543004.408607269
 01/02  08:00:00,7253051.550637612,29918960.32917035,4162909.311772787
 01/02  09:00:00,7462676.57102563,30340090.558638323,5040674.269114624
 01/02  10:00:00,24244077.45446334,28632256.677894965,4959909.247149713
 01/02  11:00:00,27873065.008672018,25517666.859382484,5232968.055567794
 01/02  12:00:00,29858017.32525734,23056586.158157334,5169957.718981039
 01/02  13:00:00,32045575.08289318,20861798.941907767,5031725.217099663
 01/02  14:00:00,32662781.732340176,20563085.058138438,5038327.581561663
 01/02  15:00:00,33601159.084519975,19534197.05994424,4169474.9640103444
 01/02  16:00:00,35045575.33250226,18808534.16478598,4356026.694942717
 01/02  17:00:00,35006664.54964462,18627517.367322963,3148634.2854139414
 01/02  18:00:00,33409585.217368964,20142315.082523294,3335277.537724114
 01/02  19:00:00,18232208.50413565,15504521.233796364,4022422.7844747626
 01/02  20:00:00,16816605.63710518,16139136.946965015,3553400.5861106003
 01/02  21:00:00,16388793.374420032,16196905.262060758,3248410.2579809884
 01/02  22:00:00,16299441.636691647,11817317.874894494,2342135.9132671435
 01/02  23:00:00,16084470.472519811,12431529.250258982,2398172.4628987694
 01/02  24:00:00,15619418.519788068,14187059.125081025,1541762.7728792499
 01/03  01:00:00,15174499.309370164,14958779.887285026,1313193.5961581618
 01/03  02:00:00,14971777.279362872,15546687.05719912,568776.8168902835
 01/03  03:00:00,14783743.440534279,15980470.277099876,921555.7241670338
 01/03  04:00:00,14862173.997864855,15972423.28776341,815658.4187452551
 01/03  05:00:00,15227522.216082986,15931025.476324607,710368.3105577903
 01/03  06:00:00,15453800.07842922,16056895.900230803,1467060.3517421053
 01/03  07:00:00,15820380.736049578,18250089.37909046,3653384.195173869
 01/03  08:00:00,15396486.148187075,18536648.92853783,4126409.363446154
 01/03  09:00:00,15535032.318928026,19178279.18634187,4961410.311498699
 01/03  10:00:00,30469517.294658672,19171945.947604306,5112193.066010368
 01/03  11:00:00,38760187.58287952,16362522.104730979,5154157.9590252815
 01/03  12:00:00,42949173.682012506,15006282.686650502,5176755.394279006
 01/03  13:00:00,42307827.20562265,14791659.919535398,5032590.883201298
 01/03  14:00:00,41052169.57270146,15231374.878767198,4775613.537974769
 01/03  15:00:00,42748417.46000925,14332092.858088281,4434262.22329825
 01/03  16:00:00,42675323.1680903,14305932.098075403,4202156.640750476
 01/03  17:00:00,40082002.41569785,14400721.865749866,3378701.3186991494
 01/03  18:00:00,38574097.962566555,15583810.668011699,3297775.7675375566
 01/03  19:00:00,23399604.59994074,11441676.786402041,3983566.871327008
 01/03  20:00:00,21358688.179806475,11962052.755910922,3579981.1260363483
 01/03  21:00:00,21316376.377644498,11493563.354231743,2977359.1418776056
 01/03  22:00:00,22999497.333467234,9312586.630953126,2590085.6158123435
 01/03  23:00:00,21839897.294722017,9836093.22897971,2470611.6699651727
 01/03  24:00:00,21765207.069239244,11021034.211095467,1579150.538477672
 01/04  01:00:00,21790357.069126476,11430381.525582286,1064238.9648710024
 01/04  02:00:00,21052059.691987667,12008500.675411727,781124.0124574151
 01/04  03:00:00,21248246.30773278,12344918.793828407,639409.4540346398
 01/04  04:00:00,21486852.77449196,12491448.12733137,1062887.1740658537
 01/04  05:00:00,21651145.05790512,12433061.143760802,604324.4838167189
