Date/Time,Hourly Space Cooling load (W),Hourly Space Heating load (W),Hourly DHW load (W)
 03/05  11:00:00,27062696.61005033,8440637.425144434,3580172.656856603
 03/05  12:00:00,27048320.507101364,8366661.471611506,2994564.0294363117
 03/05  13:00:00,28338914.463231046,8316538.233471808,2707695.142742869
 03/05  14:00:00,29088002.694547504,8660238.425590968,2681394.64950057
 03/05  15:00:00,29513303.056687616,8624786.372014461,2369663.968539732
 03/05  16:00:00,31226117.777745433,8389076.653813949,2711854.965023448
 03/05  17:00:00,32165623.846109465,9554213.049364064,2723485.9997244803
 03/05  18:00:00,30887964.840172753,9745532.563142527,3371888.4302480267
 03/05  19:00:00,26564732.196079563,10081165.02215395,3157797.937925668
 03/05  20:00:00,24881100.977550413,10319368.499936078,3053799.8359512505
 03/05  21:00:00,23770624.47374627,10642602.301983373,2888807.717163853
 03/05  22:00:00,23264675.913326714,10781342.956067743,2682013.012130061
 03/05  23:00:00,22087635.842320636,11336196.388771413,2175455.3702295003
 03/05  24:00:00,19887385.46379984,12014623.16594672,1565501.1147779238
 03/06  01:00:00,18330829.269325394,12647992.962820422,997591.9409418569
 03/06  02:00:00,17735003.821619976,13169770.641124334,886689.6396102987
 03/06  03:00:00,17267394.36333289,13761417.569592245,850598.5048943938
 03/06  04:00:00,16813330.118350837,14162515.267162694,674124.1192948172
 03/06  05:00:00,16901338.985342328,13847577.754669176,851351.4654054346
 03/06  06:00:00,16451492.36009902,14425672.543917065,1681217.0835892754
 03/06  07:00:00,16861046.7870104,16025832.506713731,3376718.658475952
 03/06  08:00:00,18277735.311253104,12293280.792634776,4145108.917413362
 03/06  09:00:00,19966774.64528843,12388070.561420059,4832254.334410315
 03/06  10:00:00,34424965.376350395,16550305.512193486,5171676.045206267
 03/06  11:00:00,37534034.88330652,15403085.176693466,5336641.437374143
 03/06  12:00:00,38350699.05693596,15809154.350176733,5026923.465947133
 03/06  13:00:00,37197117.40382966,16645409.81483922,4959140.730508761
 03/06  14:00:00,36775372.45475516,16965186.542417575,5025463.500364633
 03/06  15:00:00,37668742.83169938,15424847.206591515,4105880.797132603
 03/06  16:00:00,41251386.70912609,14248276.26210253,4452928.914789757
 03/06  17:00:00,41222688.03634014,13437016.828622963,3221264.2068376862
 03/06  18:00:00,39515223.99730976,13636625.991410643,3317485.417569197
 03/06  19:00:00,23350104.534134496,9429093.419714363,3797043.077074232
 03/06  20:00:00,22961178.627980046,9733186.44222518,3810212.827206764
 03/06  21:00:00,23044882.487433795,9410369.268771132,3191891.605187635
 03/06  22:00:00,25099771.53813207,8938387.825203236,2425835.558571955
 03/06  23:00:00,24474633.828491963,9175353.162707549,2325898.709216239
 03/06  24:00:00,22916975.044337533,10383623.58127706,1548875.7898282257
 03/07  01:00:00,20428589.65644778,10556852.041168744,1064644.6551579721
 03/07  02:00:00,22473280.158236496,10716305.449514171,815646.6997718761
 03/07  03:00:00,23114154.337375138,11107954.069134235,779788.064433333
 03/07  04:00:00,23214131.824904893,11180905.399123138,815094.6598399925
 03/07  05:00:00,23760872.454243477,11462801.720849771,709575.5431391116
 03/07  06:00:00,21894470.55992079,11555313.993767481,1538617.9341040242
 03/07  07:00:00,21361771.408619277,12011488.47853271,3692309.5950792516
 03/07  08:00:00,21277813.233680967,9476377.126339769,3936901.980702409
 03/07  09:00:00,23956559.36753775,9184843.989647036,4960583.822660003
 03/07  10:00:00,44678754.29511632,12758304.647381118,5178316.151018986
 03/07  11:00:00,46864576.65496481,12070025.512181679,5150563.1229671175
 03/07  12:00:00,51023167.782837935,12180382.397508366,5321250.9414305
 03/07  13:00:00,65869676.639090285,12103605.74047031,4866578.212327583
 03/07  14:00:00,75300904.88516572,12290320.76110316,4715092.499673965
 03/07  15:00:00,78962129.09649713,11447387.726168673,4433810.278106087
 03/07  16:00:00,72038519.32603373,11379983.52027613,4207907.25610397
 03/07  17:00:00,55633333.60455374,11441583.093926674,3362824.955687552
 03/07  18:00:00,48427478.0565854,11717956.576266628,3296777.358652192
 03/07  19:00:00,27645846.025264606,7556652.076269556,3916014.229893806
 03/07  20:00:00,23722801.88813271,8151240.947212793,3718434.324959631
 03/07  21:00:00,22199752.00720734,7823997.220700272,2958452.8095235974
 03/07  22:00:00,23430924.852190915,7675891.790217965,2570870.8645908106
 03/07  23:00:00,23058892.813937675,7866139.445848794,2253056.1024327185
 03/07  24:00:00,22585367.800892,8921633.58679524,1680386.8738937313
 03/08  01:00:00,21441475.34769233,9454427.033695018,891504.4988853809
 03/08  02:00:00,18854231.299321383,10362810.623066537,850753.9068451809
 03/08  03:00:00,17489015.506030686,10968065.653845873,885455.2807971789
 03/08  04:00:00,17602166.499941688,11025187.418780047,771479.8815504524
 03/08  05:00:00,18230999.214544196,10898393.136363605,964982.4146362338
 03/08  06:00:00,18669713.03985143,10912587.300381774,1437732.8407090171
 03/08  07:00:00,19988212.284686245,11943118.925386624,3499793.774433673
 03/08  08:00:00,21083582.27871915,9413229.644377375,3929920.56894353
 03/08  09:00:00,23615377.039721627,8842607.640331987,4868486.43717549
 03/08  10:00:00,44211540.78069855,11856305.7157635,5298868.319096818
 03/08  11:00:00,53679289.499554984,11614337.549776955,5381559.395587125
 03/08  12:00:00,58905278.39182721,11997672.77267123,4990568.273343275
 03/08  13:00:00,60230585.31202937,12046907.850883115,4881026.317669582
 03/08  14:00:00,52339512.67231364,12880227.93024956,4970943.539768836
 03/08  15:00:00,43884331.06115416,12952598.186816404,4125018.5313079003
 03/08  16:00:00,41730704.185272306,13400978.265075307,4583363.190523298
 03/08  17:00:00,41211841.49759596,12662248.832154397,3192059.4363367553
 03/08  18:00:00,41278694.285935,12781378.677087529,3273455.757230166
 03/08  19:00:00,24620433.496537056,8290015.155440514,3744263.837355718
 03/08  20:00:00,22723170.77397262,8684536.729665294,3826669.9626440015
 03/08  21:00:00,21494705.372764938,8380846.50491604,3115283.6483506253
 03/08  22:00:00,21463799.447949484,8382662.065331904,2547802.803428075
 03/08  23:00:00,19261367.010659285,9099305.46850011,2309069.421899908
 03/08  24:00:00,17655670.00221697,10722206.882274901,1448175.0897914465
 03/09  01:00:00,16919000.25221581,11569105.725406837,1028800.7825468596
 03/09  02:00:00,17026509.397192664,11804727.379477778,956709.4018797065
 03/09  03:00:00,20003688.82050959,11552014.55390379,779341.2970064437
 03/09  04:00:00,19591754.803320054,11654092.363742696,602886.616606362
 03/09  05:00:00,15599679.003499817,12338744.690276109,956653.9751243353
 03/09  06:00:00,16534823.713210557,12749069.546328845,1524329.403584514
 03/09  07:00:00,17686320.136416458,13451462.717065966,3426845.9178104056
 03/09  08:00:00,22360921.51721974,10319168.946386289,3992853.7022609604
 03/09  09:00:00,22378983.203970183,10358433.460494572,5041018.012257022
 03/09  10:00:00,37290790.08237723,14379114.486500798,5141339.64429499
 03/09  11:00:00,41184829.29291166,13217300.102667028,5345420.255576219
 03/09  12:00:00,46049859.3801822,12465021.105707485,5110688.620197294
 03/09  13:00:00,50792515.37222857,12246373.284608668,4774046.479113097
 03/09  14:00:00,50796868.60678513,12493795.314610355,5021274.81604101
 03/09  15:00:00,51574810.164163366,11792315.961487837,4177236.4616244966
 03/09  16:00:00,51195446.24644263,11657407.845824428,4373111.598093568
 03/09  17:00:00,44842825.25416988,12155202.047572764,3195232.2816378386
 03/09  18:00:00,41209379.96482602,12552975.50971354,3480822.9368816335
 03/09  19:00:00,24352560.314611506,8151557.161730916,3764005.5636243173
 03/09  20:00:00,23224275.316860717,8560098.56154021,3704914.754378025
 03/09  21:00:00,22814589.962802235,8281398.726080258,3034163.07895576
 03/09  22:00:00,22722084.449505974,8043801.571958974,2617997.4287806754
 03/09  23:00:00,22555639.472645156,8309001.108784565,2285356.9790206994
 03/09  24:00:00,22020458.914562143,9698669.829319935,1608408.2044585606
 03/10  01:00:00,21624384.29376855,10142151.145391213,993404.7824331175
 03/10  02:00:00,21617813.438300204,10313462.439422973,822363.5226659004
 03/10  03:00:00,21621510.313876692,10487207.860507268,779118.5542467218
 03/10  04:00:00,21707075.25644446,10579593.378453588,814411.8372089614
 03/10  05:00:00,19044099.28434746,10774865.06979232,779720.4910977837
 03/10  06:00:00,19218369.249490608,11090402.932040328,1581176.8299194167
 03/10  07:00:00,18102750.05273236,12909708.236582026,3505844.595779742
 03/10  08:00:00,20527627.832377456,9618381.747627344,4113770.7190303355
 03/10  09:00:00,22741566.335847836,8827233.504410608,4745652.170423698
 03/10  10:00:00,42842851.76337732,12334468.179942597,5241546.161104549
 03/10  11:00:00,45308835.735207185,11588733.098476985,5267578.515984927
 03/10  12:00:00,49808467.79125723,11762949.328187972,5153290.456026429
 03/10  13:00:00,58059753.7301909,11794854.191983119,4880897.119984607
 03/10  14:00:00,62012697.972618915,12038600.285225587,4853472.88512236
 03/10  15:00:00,62200036.23976801,11312960.075720116,4271650.818355479
 03/10  16:00:00,60195183.26666352,11156147.657455098,4333429.784233942
 03/10  17:00:00,50581016.79405865,11212578.99534717,3274307.6400349247
 03/10  18:00:00,44333415.467493184,11653009.569133285,3350955.045572688
 03/10  19:00:00,24709700.12008156,7460889.91314402,3701770.167617587
 03/10  20:00:00,22789094.66542817,8137259.057332928,3845428.151816079
 03/10  21:00:00,22824553.435477838,7802328.150107907,3052414.275648364
 03/10  22:00:00,21740233.087073438,7905352.7431469,2578031.9100434193
 03/10  23:00:00,20351074.48552679,8308827.3539562365,2272098.3661525096
 03/10  24:00:00,19838912.563420933,9469833.100546686,1548553.0091349394
 03/11  01:00:00,18710790.613189086,9717399.83304752,957300.9819798473
 03/11  02:00:00,15447219.833173119,10740845.434231399,920832.2643409485
 03/11  03:00:00,16619325.866030322,11207143.401619637,743585.7597337633
 03/11  04:00:00,16752710.599644614,11886655.932182036,778873.5341901741
 03/11  05:00:00,18564255.92415876,11402948.814273745,920802.6070901076
 03/11  06:00:00,20648499.242795136,10991449.832622958,1465426.9666212455
 03/11  07:00:00,20258401.561437786,11778745.777965961,3438774.915591786
 03/11  08:00:00,22276883.658396956,9754917.173496008,3630838.5832999004
 03/11  09:00:00,25068059.678844925,7426224.510152696,3817090.5522924764
 03/11  10:00:00,45217700.77207323,11399203.332986444,3560995.160215979
 03/11  11:00:00,51783306.406436004,10962141.769249197,3615731.5699124835
 03/11  12:00:00,53921077.67546207,10819899.76252255,2982007.3715391294
 03/11  13:00:00,56698831.760546625,10765440.966131648,2796175.0256873365
 03/11  14:00:00,60274686.543816015,10702483.224200664,2786820.3577190423
 03/11  15:00:00,56855222.22945416,10594774.265341671,2437063.1529419753
 03/11  16:00:00,49777028.960682526,10692582.283994783,2693783.045477917
 03/11  17:00:00,47757542.03181647,10930696.875711372,2848541.0941309915
 03/11  18:00:00,26735812.223426256,6322478.122727039,3235061.453099418
 03/11  19:00:00,23250603.42600692,8260907.124851635,3318055.31482141
 03/11  20:00:00,20684515.914331753,9042018.702169785,3011869.9732903433
 03/11  21:00:00,21459537.846724235,9375945.3530686,2880762.787295124
 03/11  22:00:00,21799797.45159949,9600379.577186242,2568172.2994102626
 03/11  23:00:00,21247087.545042522,10140044.70914339,2324270.480722948
 03/11  24:00:00,20252739.631034415,10544634.19777053,1556963.0281850577
 03/12  01:00:00,19769166.33473117,10964386.89842439,833103.4182742959
 03/12  02:00:00,19302511.11728369,11293066.446992211,813928.1908858805
 03/12  03:00:00,18881293.005284145,11562723.083323913,813932.9733817178
 03/12  04:00:00,18850493.018863548,12076828.210686225,920545.8938824171
 03/12  05:00:00,18870186.986060597,12311232.898207417,1465187.7147017748
 03/12  06:00:00,18641728.10331863,12463496.884196667,3433168.447034848
 03/12  07:00:00,17743842.832973238,12660178.618851509,3635003.3625744907
 03/12  08:00:00,19638762.419259634,10196803.4309391,3746493.399818746
 03/12  09:00:00,23234001.401873916,8626914.454482667,3442802.5493333656
 03/12  10:00:00,25783823.136600032,7833815.0650774045,3590442.044597892
 03/12  11:00:00,30563579.67392507,7424043.954338066,2921899.409518899
 03/12  12:00:00,33735883.5183676,7299312.728336867,2722025.5479529225
 03/12  13:00:00,33513502.070178274,7315595.508441101,2629706.5572279966
 03/12  14:00:00,35310502.48627407,7231078.569477913,2492578.821535237
 03/12  15:00:00,37220685.50257234,7013315.719493807,2649887.5587134357
 03/12  16:00:00,36977339.361074604,7907279.343266526,2745105.7853516717
 03/12  17:00:00,33654341.5316344,7989668.213915789,3044121.835681186
 03/12  18:00:00,27625330.61952776,8397949.464399235,3419558.368530928
 03/12  19:00:00,23934655.55585377,9182972.94099144,2993337.9026493467
 03/12  20:00:00,22390289.87051001,9736478.014451222,2883569.9649827303
 03/12  21:00:00,20895477.95850054,10154361.15315639,2544250.242046696
 03/12  22:00:00,19598351.624666534,10646620.034307368,2304659.9716285598
 03/12  23:00:00,18383938.264808226,11116673.497297093,1593221.617206133
 03/12  24:00:00,18155657.09352407,11460980.948572794,1098980.6196131348
 03/13  01:00:00,18179033.509341765,11518040.881804394,743600.8245326888
 03/13  02:00:00,18092672.658008434,11807507.42924497,813680.802736486
 03/13  03:00:00,17478767.516814426,12630127.853510097,813667.7581881984
 03/13  04:00:00,16569212.654646046,13600291.490644379,814275.8348195115
 03/13  05:00:00,15967498.538644357,14138675.084368156,1501041.3107057216
 03/13  06:00:00,15833802.709744548,17430381.223796558,3484113.106558606
 03/13  07:00:00,15514579.416187461,15026535.838706017,4045075.4909620695
 03/13  08:00:00,16186374.031295491,13882824.664040634,4779249.127530576
 03/13  09:00:00,33630184.36436577,14795314.507759297,5336801.887867393
 03/13  10:00:00,39460993.75668492,13421383.5316184,5282904.557984087
 03/13  11:00:00,43398976.145564176,12554055.261691004,5114071.325195848
 03/13  12:00:00,61610700.21719729,11997991.957667343,4939294.084323202
 03/13  13:00:00,84547011.2919236,12153389.84682534,4833703.992825799
 03/13  14:00:00,80001333.73799138,11597141.80651725,4241672.15860426
 03/13  15:00:00,66990652.21146932,11428212.412539668,4296179.1519197365
 03/13  16:00:00,50210865.89180458,11263262.461569821,3264604.112794308
 03/13  17:00:00,45741737.589394085,11278391.262300385,3339785.6875522407
 03/13  18:00:00,25100471.465138543,7217789.478405369,3721480.7302772556
 03/13  19:00:00,20680853.978911653,8640145.279480757,3832835.6244246783
 03/13  20:00:00,19096104.682638742,8708861.219510695,2993228.7766075833
 03/13  21:00:00,19757978.195857406,8442989.345802011,2561498.1771816253
 03/13  22:00:00,19324504.23510846,8804564.086079646,2317981.6075274423
 03/13  23:00:00,19291824.436188605,9880165.009257074,1580813.2892170972
 03/13  24:00:00,19487271.888674743,10151432.663713494,921621.4424606521
 03/14  01:00:00,20132034.97946214,10325906.138407327,961241.5494577829
 03/14  02:00:00,21102771.166847583,10603417.602013016,807562.551618542
 03/14  03:00:00,21555781.942183454,10743565.983608212,601648.7938373146
 03/14  04:00:00,20115464.106889416,11709774.87110926,1006722.3744593954
 03/14  05:00:00,18123103.330535557,11990337.77318359,1474056.6831290394
 03/14  06:00:00,18392141.834172767,12564368.22088977,3362557.0753844446
 03/14  07:00:00,18538295.90331685,10745845.484998984,4031363.610223017
 03/14  08:00:00,18712732.17750223,12267345.731458843,4942766.945652181
 03/14  09:00:00,35518122.3539121,15002933.274561388,5198080.770319833
 03/14  10:00:00,39078815.97148054,14883952.739903618,5396067.994759312
 03/14  11:00:00,43364555.41879456,15152897.296617925,5090967.204733986
 03/14  12:00:00,40676654.33859313,15262107.516166536,4765974.0285119945
 03/14  13:00:00,36618164.57173722,16614506.856415099,5049989.369012967
 03/14  14:00:00,37599761.22516959,16146804.374074532,4069565.4069612212
 03/14  15:00:00,34307719.883989364,17092241.024688028,4502252.248536732
 03/14  16:00:00,30681555.09880777,16071573.349749874,3163613.242411852
 03/14  17:00:00,32952587.543223698,15816238.865131991,3499748.898792933
 03/14  18:00:00,19851382.142036237,11355493.408349186,3585526.978448695
 03/14  19:00:00,18944966.654729694,12192425.5528507,3728942.4090880426
 03/14  20:00:00,18521550.961321197,12211767.438332504,3152060.5377469696
 03/14  21:00:00,17890205.37262083,11195920.646439677,2683696.72805209
 03/14  22:00:00,17357243.125605594,11772479.49926153,2113544.69106845
 03/14  23:00:00,17372605.285716597,13124527.967701854,1536077.948511242
 03/14  24:00:00,17221918.887085132,13489975.078754162,995042.378719124
 03/15  01:00:00,17338735.940106954,13956241.334609624,990700.0943720287
 03/15  02:00:00,17441922.957342643,14263640.029724728,777864.6649728479
 03/15  03:00:00,17443272.571326144,14433419.181581138,707290.4056992361
 03/15  04:00:00,17696600.231711812,14574314.776733372,813905.4540209419
 03/15  05:00:00,17720433.841661554,14687898.673153583,1560490.8041386346
 03/15  06:00:00,17701846.930070475,16490618.932970855,3477163.648441865
 03/15  07:00:00,17341269.765780576,14919463.235403862,4153230.7123532305
 03/15  08:00:00,17694883.41430621,15378974.1171511,4819263.137253295
 03/15  09:00:00,33242740.673318643,16949263.747780804,5156165.254597498
 03/15  10:00:00,37146557.268834196,15727329.69431626,5248659.568847682
 03/15  11:00:00,39657078.320889495,14851694.48482349,5076636.60002755
 03/15  12:00:00,42358504.23090367,14093639.10226578,4909006.999868921
 03/15  13:00:00,43130625.6976004,14243080.433920862,4913721.201193895
 03/15  14:00:00,44030097.246238016,13329180.994520973,4182356.829802227
 03/15  15:00:00,43548283.950326785,13379989.751675678,4388997.016726364
 03/15  16:00:00,41740883.47855591,12246143.30355017,3262088.317118993
 03/15  17:00:00,40249382.05367877,12286643.802990265,3406437.3555678776
 03/15  18:00:00,23092539.329349555,8373507.602219731,3759720.271488247
 03/15  19:00:00,21120968.874598317,9553508.782469956,3737962.913545343
 03/15  20:00:00,20137346.037136886,9592150.038554028,3023051.7831584075
 03/15  21:00:00,20587992.749352217,8739209.686667766,2586738.7562653734
 03/15  22:00:00,19758316.730735928,9397526.412259528,2328700.1293058735
 03/15  23:00:00,18451393.857023317,11068306.664762335,1559864.8962347338
 03/15  24:00:00,18847713.829209093,11719563.435322864,900890.5386897724
 03/16  01:00:00,17520402.731516182,12743947.657358315,954875.0852125341
 03/16  02:00:00,16771056.685127659,13880974.24434221,707027.9195908128
 03/16  03:00:00,17017888.88115483,14247708.053127667,918799.1389264943
 03/16  04:00:00,16976115.756028444,14524825.743274529,707404.512356439
 03/16  05:00:00,16659678.516781734,15130710.940527037,1608707.4078074712
 03/16  06:00:00,16644672.871413004,17078159.152313706,3574313.585615829
 03/16  07:00:00,16263997.857603677,15242005.725330742,3995702.070123699
 03/16  08:00:00,15858468.750691073,16649617.846147157,4793845.4320410015
 03/16  09:00:00,27243537.932278235,19722763.1597843,5188219.749450308
 03/16  10:00:00,28749706.15081931,19562989.4385451,5247115.578287668
 03/16  11:00:00,28044937.22651337,20894888.24896689,5197227.568123469
 03/16  12:00:00,28032374.535436045,20752870.977964547,4821793.607160389
 03/16  13:00:00,30322552.912354123,18529305.450783003,4842068.913028293
 03/16  14:00:00,35312123.066992216,15459564.179425698,4168115.7820364325
 03/16  15:00:00,39089591.924467914,14057818.321430067,4437248.914725881
 03/16  16:00:00,38329667.66815021,13045756.971617203,3332049.1289948532
 03/16  17:00:00,37081546.40750471,13345095.51982754,3295655.8351081596
 03/16  18:00:00,21863170.22957349,9709097.077601273,3658817.025542761
 03/16  19:00:00,19584602.637299713,11114440.79272233,3944505.096377001
 03/16  20:00:00,19057394.346991185,11205940.046461105,3009147.401858168
 03/16  21:00:00,18766266.447150096,10193320.932007598,2572897.4325394384
 03/16  22:00:00,18355751.754143845,10549240.448567953,2234654.575469738
 03/16  23:00:00,18508841.939991802,11984534.764206931,1663491.4875747997
 03/16  24:00:00,18604457.904968064,12448494.1428669,918085.72416175
 03/17  01:00:00,17534589.561822925,12903541.331031777,890120.6435055025
 03/17  02:00:00,16874091.090363428,13403238.227121275,737179.9351009533
 03/17  03:00:00,16957629.32025632,13883964.385253752,777350.096158662
 03/17  04:00:00,16931110.68541352,14141873.395998199,954629.7335123658
 03/17  05:00:00,16165262.725840295,14703697.016817003,1536173.5621945304
 03/17  06:00:00,15377727.999366725,18472792.437139004,3318033.5501654684
 03/17  07:00:00,14895963.772212943,16496240.243189229,4095401.491731489
 03/17  08:00:00,15863744.118300088,15101531.363066189,4838190.081212915
 03/17  09:00:00,32793043.684159387,15738304.882025234,5152605.680134131
 03/17  10:00:00,36170377.76750717,15322046.133422941,5428167.236138771
 03/17  11:00:00,35225278.863422826,15221041.412725154,5027683.795477838
 03/17  12:00:00,36466907.36504582,14749568.070456313,4854648.264595972
 03/17  13:00:00,40263638.824870534,14265033.582280364,4965979.973668684
 03/17  14:00:00,42254905.13309172,13209323.421588464,4136415.0948536387
 03/17  15:00:00,44043280.36519799,12373671.15732755,4467927.26104164
 03/17  16:00:00,44926044.22739914,11583726.881277014,3076376.011517442
 03/17  17:00:00,43346326.643152736,11672238.978437606,3356807.8467780403
 03/17  18:00:00,24208168.699613024,7540719.147145055,3776645.053571049
 03/17  19:00:00,21090111.799624305,8875654.479498783,3804626.2018868476
 03/17  20:00:00,20016999.891947526,9166767.493602285,3110873.4202311146
 03/17  21:00:00,19389329.42850594,8631725.068720853,2442235.815285094
 03/17  22:00:00,19225900.305691164,8994911.766517226,2328376.7002798985
 03/17  23:00:00,18621709.453601126,10296114.661043586,1596578.7656976287
 03/17  24:00:00,17251049.620115444,11110652.345656222,955651.1948358371
 03/18  01:00:00,17058998.06112647,11478757.827225579,883703.3439639667
 03/18  02:00:00,17468211.58961072,11751933.814478572,706483.7529350746
 03/18  03:00:00,17588112.356855605,12056812.814034082,918247.3805555584
 03/18  04:00:00,17139960.51920107,12794680.473267665,706843.7544719389
 03/18  05:00:00,17094570.916019715,12897099.977593558,1535845.1870736673
 03/18  06:00:00,17330979.235918514,14282004.625346221,3541516.0689977026
 03/18  07:00:00,17355626.719561305,13342059.512159672,3705680.6481342986
 03/18  08:00:00,18336206.830290265,10437727.319713641,3656065.480806562
 03/18  09:00:00,34161663.677935384,12744768.681957321,3548347.2281837272
 03/18  10:00:00,37617029.69150562,11630131.790296301,3520546.4331696043
 03/18  11:00:00,39246628.01341208,11261649.641654754,3112778.3238074165
 03/18  12:00:00,41167595.74690391,11054649.75630787,2901526.9000879293
 03/18  13:00:00,45698406.03225849,10919432.900244065,2545261.260001082
 03/18  14:00:00,49804942.02543365,10793532.009413818,2563944.9674246022
 03/18  15:00:00,49863748.95845402,10646776.857145188,2625385.570669362
 03/18  16:00:00,47602917.3476082,10584435.321815828,2880566.2957285764
 03/18  17:00:00,29263295.536773838,5760380.351824281,3184500.8503405354
 03/18  18:00:00,25063911.70653204,7576606.955654248,3252549.78331898
 03/18  19:00:00,24832609.486251764,8494686.27048556,3141246.726923771
 03/18  20:00:00,23834007.302092142,9012906.849500204,2912152.5721058687
 03/18  21:00:00,22006050.41737434,9353186.81110238,2475296.9359494634
 03/18  22:00:00,21151784.28323822,9818288.246370893,2250053.824500692
 03/18  23:00:00,20153266.6302952,10341808.671243882,1710347.5804877544
 03/18  24:00:00,18768135.18520693,10912412.828515042,856105.2624622042
 03/19  01:00:00,15102333.323369216,11715695.138863776,892928.473616998
 03/19  02:00:00,15632029.60511854,12588142.138288638,837817.7920364077
 03/19  03:00:00,16219304.17035341,12887244.319584535,741478.1831104783
 03/19  04:00:00,16342995.914325282,12917958.593539914,847917.6022050427
 03/19  05:00:00,16083266.132580303,13760959.972511817,1571637.2678552882
 03/19  06:00:00,15897093.624890015,14380193.525764288,3392317.225130027
 03/19  07:00:00,16203372.088742869,13725327.737966988,3657740.1447692746
 03/19  08:00:00,18066899.377280664,10334298.40516942,3681241.930557387
 03/19  09:00:00,20671244.270195745,8837023.894848319,3439568.493789116
 03/19  10:00:00,24612735.52358632,8132127.637642421,3550890.317736883
 03/19  11:00:00,24515115.676207058,7634911.091983757,2892004.6289533507
 03/19  12:00:00,27644843.776070207,7327738.404991687,2851798.36017766
 03/19  13:00:00,33312468.096089542,7236186.353315812,2610148.749963852
 03/19  14:00:00,49561627.24164448,7036125.577658667,2370827.221865137
 03/19  15:00:00,44841435.186553776,6892246.506473665,2556076.5676734913
 03/19  16:00:00,36933002.18467672,7799603.028210037,2854513.6159480438
 03/19  17:00:00,31956931.829521753,7837883.157080284,3123010.221757665
 03/19  18:00:00,27701227.30479585,8143608.302629236,3296906.5236075465
 03/19  19:00:00,24130409.46318676,8995876.378649566,3103519.7149662725
 03/19  20:00:00,22704028.658728164,9547205.09729248,2838747.897172016
 03/19  21:00:00,21615658.612786848,9993039.695149181,2509872.413825735
 03/19  22:00:00,20761950.55210834,10362091.619080411,2285514.5379484715
 03/19  23:00:00,20331448.22349611,10796859.560813442,1653046.166461389
 03/19  24:00:00,19883603.832416404,11171576.157421993,894969.2556331028
 03/20  01:00:00,19812292.1743787,11109860.79758862,864737.50371194
 03/20  02:00:00,17003316.13711802,11428497.260359982,741200.7323073148
 03/20  03:00:00,16514351.743136482,11621306.431904128,847070.220950678
 03/20  04:00:00,17125128.647704355,12422110.862785414,937217.7364185881
 03/20  05:00:00,16712824.781732915,12698249.670517968,1515888.34634977
 03/20  06:00:00,16328785.297753325,16035732.007806107,3395794.0975631583
 03/20  07:00:00,16878364.747013908,12515153.071862195,3997078.305357168
 03/20  08:00:00,22473425.774242412,11771191.553000355,4770006.477385313
 03/20  09:00:00,35425352.78366365,14547554.561853858,5311390.18993207
 03/20  10:00:00,39303349.842031725,13498221.94834291,5282430.219632221
 03/20  11:00:00,42259421.34100092,12850055.407008681,5047983.0031774435
 03/20  12:00:00,48865937.564341776,12134285.56906774,4764010.78015788
 03/20  13:00:00,63311721.18759516,12343713.354976598,5078202.377027924
 03/20  14:00:00,93471357.5415577,11498608.433092153,4030562.694811717
 03/20  15:00:00,122841159.31848946,11184349.212231807,4400189.831985283
 03/20  16:00:00,108946514.3428616,11034881.115312338,3192325.9128421578
 03/20  17:00:00,73959296.74811716,11101104.358834164,3403497.491144691
 03/20  18:00:00,38718523.79741388,6792624.185340331,3674979.367353621
 03/20  19:00:00,27193972.315012686,7673532.036661275,3724769.791573891
 03/20  20:00:00,20934305.28381706,8552152.2627656,3067902.8350613583
 03/20  21:00:00,18635083.535787087,8522424.20687902,2591420.0403269073
 03/20  22:00:00,18266977.50885029,8675284.50596252,2236319.7374808798
 03/20  23:00:00,18363849.332103692,9675364.33990652,1501652.9501058282
 03/20  24:00:00,18552521.06986831,10027111.103528406,1132005.973075234
 03/21  01:00:00,18556810.165817786,10321048.559586363,776787.4557180534
 03/21  02:00:00,17115241.828624193,10661715.682297843,814346.6521008324
 03/21  03:00:00,16094164.695664061,10921041.26219173,773334.0287212097
 03/21  04:00:00,18912699.355630204,10908744.242828473,847537.2630362428
 03/21  05:00:00,19167898.5347548,10941388.957542738,1498775.3492509166
 03/21  06:00:00,18707236.437635105,12086025.454356441,3461589.038805618
 03/21  07:00:00,19387483.23869987,9949182.095742295,4058601.2423668727
 03/21  08:00:00,20722496.14943581,10586249.63570486,4799681.137655936
 03/21  09:00:00,41467282.1093048,13576292.769957194,5259223.776649564
 03/21  10:00:00,43008330.77869505,12629175.341484845,5219935.145333606
 03/21  11:00:00,46826949.042399436,12272832.30135238,5112213.887589544
 03/21  12:00:00,52291202.828456014,12243271.922125295,4880609.703882128
 03/21  13:00:00,56714478.47584891,12489670.673361158,4813748.022803927
 03/21  14:00:00,56320350.64575043,11955802.87026827,4237941.207779683
 03/21  15:00:00,66545619.258178614,11783206.232471883,4312570.058647143
 03/21  16:00:00,61887264.94628509,11764089.687141163,3289688.854551817
 03/21  17:00:00,51867893.7318466,11936161.95713543,3266904.95307383
 03/21  18:00:00,30098590.161286686,7539159.374474657,3674915.9343906147
 03/21  19:00:00,26585585.525567874,8059096.555704402,3835207.7730101272
 03/21  20:00:00,27273454.584357098,7788370.625053805,3037114.7390209083
 03/21  21:00:00,23296790.57040891,7621004.7471973775,2505300.919675337
