Program Version:,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2021.05.30 23:36
Tabular Output Report in Format: ,Comma

Building:,OfficeLarge
Environment:,RUNPERIOD 1 ** SAN_FRANCISCO CA USA TMY2-23234 WMO#=724940

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,26227.03,566.21,566.21
,Net Site Energy,26227.03,566.21,566.21
,Total Source Energy,81290.44,1754.96,1754.96
,Net Source Energy,81290.44,1754.96,1754.96


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,46320.38
,Net Conditioned Building Area,46320.38
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Additional Fuel [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,391.61,0.00,0.00,0.00,0.00,0.00
,,Other,1025.98,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,LightsWired,3419.25,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,680.57,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,5334.88,0.00,0.00,0.00,0.00,0.00
,,DataCenterPlugLoads,9341.42,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Transformer,79.85,0.00,0.00,0.00,0.00,0.00
,,ElevatorLift,1895.08,0.00,0.00,0.00,0.00,0.00
,,ElevatorLightsFan,5.83,0.00,0.00,0.00,0.00,0.00
,Fans,General,1952.13,0.00,0.00,0.00,0.00,0.00
,Pumps,General,248.99,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,19.58,0.00,0.00,0.00,0.00,0.00
,,Other,530.97,0.00,0.00,0.00,0.00,1792.29
,Humidification,General,450.88,0.00,0.00,0.00,0.00,167.73
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Water Heater,0.00,550.61,0.00,0.00,0.00,0.00
,,WaterUse,0.00,0.00,0.00,0.00,0.00,2280.17
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,88.51,0.00,0.00,0.00,0.00,0.00
,HVAC,99.74,18.35,0.00,0.00,0.00,0.09
,Other,359.61,0.00,0.00,0.00,0.00,0.00
,Total,547.86,18.35,0.00,0.00,0.00,0.09


Utility Use Per Total Floor Area

,,Electricity Intensity [MJ/m2],Natural Gas Intensity [MJ/m2],Additional Fuel Intensity [MJ/m2],District Cooling Intensity [MJ/m2],District Heating Intensity [MJ/m2],Water Intensity [m3/m2]
,Lighting,88.51,0.00,0.00,0.00,0.00,0.00
,HVAC,99.74,18.35,0.00,0.00,0.00,0.09
,Other,359.61,0.00,0.00,0.00,0.00,0.00
,Total,547.86,18.35,0.00,0.00,0.00,0.09


Electric Loads Satisfied

,,Electricity [GJ],Percent Electricity [%]
,Fuel-Fired Power Generation,0.000,0.00
,High Temperature Geothermal*,0.000,0.00
,Photovoltaic Power,0.000,0.00
,Wind Power,0.000,0.00
,Power Conversion,0.000,0.00
,Net Decrease in On-Site Storage,0.000,0.00
,Total On-Site Electric Sources,0.000,0.00
,,,
,Electricity Coming From Utility,25377.021,100.00
,Surplus Electricity Going To Utility,0.000,0.00
,Net Electricity From Utility,25377.021,100.00
,,,
,Total On-Site and Utility Electric Sources,25377.021,100.00
,Total Electricity End Uses,25377.021,100.00


On-Site Thermal Sources

,,Heat [GJ],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,0.00
,Condensate Collection,0.00,0.00
,Groundwater Well,0.00,0.00
,Total On Site Water Sources,0.00,0.00
,-,-,-
,Initial Storage,0.00,0.00
,Final Storage,0.00,0.00
,Change in Storage,0.00,0.00
,-,-,-
,Water Supplied by Utility,4240.19,100.00
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,4240.19,100.00
,Total Water End Uses,4240.19,100.00


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,0.56
,Tolerance for Zone Cooling Setpoint Not Met Time,0.56


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,5.00
,Time Setpoint Not Met During Occupied Cooling,81.83
,Time Not Comfortable Based on Simple ASHRAE 55-2004,1216.33


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2021.05.30 23:36
,RunPeriod,RUNPERIOD 1
,Weather File,SAN_FRANCISCO CA USA TMY2-23234 WMO#=724940
,Latitude [deg],37.62
,Longitude [deg],-122.4
,Elevation [m],5.00
,Time Zone,-8.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],8760.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],12183.89,3655.17,2436.78,3655.17,2436.78
,Above Ground Wall Area [m2],11589.54,3476.86,2317.91,3476.86,2317.91
,Window Opening Area [m2],4635.80,1390.74,927.16,1390.74,927.16
,Gross Window-Wall Ratio [%],38.05,38.05,38.05,38.05,38.05
,Above Ground Window-Wall Ratio [%],40.00,40.00,40.00,40.00,40.00


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],12183.89,3655.17,2436.78,3655.17,2436.78
,Above Ground Wall Area [m2],11589.54,3476.86,2317.91,3476.86,2317.91
,Window Opening Area [m2],4635.80,1390.74,927.16,1390.74,927.16
,Gross Window-Wall Ratio [%],38.05,38.05,38.05,38.05,38.05
,Above Ground Window-Wall Ratio [%],40.00,40.00,40.00,40.00,40.00


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],3563.11
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,BASEMENT,2779.43,Yes,Yes,6779.02,1.00,0.00,397.05,0.00,0.00,8.8264,18.58,4.8418
,CORE_BOTTOM,2496.12,Yes,Yes,6849.35,1.00,0.00,0.00,0.00,0.00,8.8264,18.58,8.0697
,CORE_MID,2496.12,Yes,Yes,6849.35,10.00,0.00,0.00,0.00,0.00,8.8264,18.58,8.0696
,CORE_TOP,2496.12,Yes,Yes,6849.35,1.00,0.00,0.00,0.00,0.00,8.8264,18.58,8.0696
,PERIMETER_BOT_ZN_3,313.41,Yes,Yes,860.00,1.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0700
,PERIMETER_BOT_ZN_2,201.98,Yes,Yes,554.22,1.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0700
,PERIMETER_BOT_ZN_1,313.42,Yes,Yes,860.02,1.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0699
,PERIMETER_BOT_ZN_4,201.98,Yes,Yes,554.22,1.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0699
,PERIMETER_MID_ZN_3,313.41,Yes,Yes,860.00,10.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0700
,PERIMETER_MID_ZN_2,201.98,Yes,Yes,554.22,10.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0700
,PERIMETER_MID_ZN_1,313.42,Yes,Yes,860.02,10.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0699
,PERIMETER_MID_ZN_4,201.98,Yes,Yes,554.22,10.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0699
,PERIMETER_TOP_ZN_3,313.41,Yes,Yes,860.00,1.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0700
,PERIMETER_TOP_ZN_2,201.98,Yes,Yes,554.22,1.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0700
,PERIMETER_TOP_ZN_1,313.42,Yes,Yes,860.02,1.00,200.61,0.00,115.90,115.90,8.8264,18.58,8.0699
,PERIMETER_TOP_ZN_4,201.98,Yes,Yes,554.22,1.00,133.74,0.00,77.26,77.26,8.8264,18.58,8.0699
,GROUNDFLOOR_PLENUM,3563.11,Yes,No,4344.14,1.00,297.11,0.00,0.00,0.00,,,
,MIDFLOOR_PLENUM,3563.11,Yes,No,4344.14,10.00,297.11,0.00,0.00,0.00,,,
,TOPFLOOR_PLENUM,3563.11,Yes,No,4344.14,1.00,297.11,0.00,0.00,0.00,,,
,DATACENTER_BOT_ZN_6,36.20,Yes,Yes,99.34,1.00,0.00,0.00,0.00,0.00,8.8264,,215.2992
,DATACENTER_MID_ZN_6,36.20,Yes,Yes,99.34,10.00,0.00,0.00,0.00,0.00,8.8264,,215.2992
,DATACENTER_TOP_ZN_6,36.20,Yes,Yes,99.34,1.00,0.00,0.00,0.00,0.00,8.8264,,215.2992
,DATACENTER_BASEMENT_ZN_6,783.68,Yes,Yes,1911.37,1.00,0.00,197.31,0.00,0.00,8.8264,,484.4232
,Total,46320.38,,,126016.35,,8024.24,594.36,4635.80,4635.80,8.8264,19.08,17.8789
,Conditioned Total,46320.38,,,126016.35,,8024.24,594.36,4635.80,4635.80,8.8264,19.08,17.8789
,Unconditioned Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,
,Not Part of Total,85514.54,,,104259.33,,7130.58,0.00,0.00,0.00,0.0000,,0.0000


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Time of Peak,13-APR-15:09,07-MAY-15:50,-,-,-,28-SEP-15:09
,Heating,0.00,852045.39,0.00,0.00,0.00,0.00
,Cooling,230595.51,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,286578.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,778371.69,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,90798.79,0.00,0.00,0.00,0.00,0.00
,Fans,98849.54,0.00,0.00,0.00,0.00,0.00
,Pumps,17657.07,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,51882.05,0.00,0.00,0.00,0.00,0.00
,Humidification,100000.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,8146.58,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,1654732.64,860191.97,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Heating,Boiler,0.00,852045.39,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,111053.09,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,LightsWired,286578.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,305206.10,0.00,0.00,0.00,0.00,0.00
,,DataCenterPlugLoads,473165.59,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Transformer,4980.20,0.00,0.00,0.00,0.00,0.00
,,ElevatorLift,85555.38,0.00,0.00,0.00,0.00,0.00
,,ElevatorLightsFan,263.20,0.00,0.00,0.00,0.00,0.00
,Fans,General,98849.54,0.00,0.00,0.00,0.00,0.00
,Pumps,General,17657.07,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,2633.78,0.00,0.00,0.00,0.00,0.00
,Humidification,General,100000.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,Water Heater,0.00,8146.58,0.00,0.00,0.00,0.00
,,WaterUse,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Source Energy End Use Components Summary

,,Source Electricity [GJ],Source Natural Gas [GJ],Source Additional Fuel [GJ],Source District Cooling [GJ],Source District Heating [GJ]
,Heating,0.00,324.55,0.00,0.00,0.00
,Cooling,4489.53,0.00,0.00,0.00,0.00
,Interior Lighting,10828.78,0.00,0.00,0.00,0.00
,Exterior Lighting,2155.36,0.00,0.00,0.00,0.00
,Interior Equipment,46479.86,0.00,0.00,0.00,0.00
,Exterior Equipment,6273.07,0.00,0.00,0.00,0.00
,Fans,6182.39,0.00,0.00,0.00,0.00
,Pumps,788.54,0.00,0.00,0.00,0.00
,Heat Rejection,1743.58,0.00,0.00,0.00,0.00
,Humidification,1427.93,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,596.86,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,80369.03,921.41,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [MJ/m2],Source Natural Gas [MJ/m2],Source Additional Fuel [MJ/m2],Source District Cooling [MJ/m2],Source District Heating [MJ/m2]
,Heating,0.00,7.01,0.00,0.00,0.00
,Cooling,96.92,0.00,0.00,0.00,0.00
,Interior Lighting,233.78,0.00,0.00,0.00,0.00
,Exterior Lighting,46.53,0.00,0.00,0.00,0.00
,Interior Equipment,1003.44,0.00,0.00,0.00,0.00
,Exterior Equipment,135.43,0.00,0.00,0.00,0.00
,Fans,133.47,0.00,0.00,0.00,0.00
,Pumps,17.02,0.00,0.00,0.00,0.00
,Heat Rejection,37.64,0.00,0.00,0.00,0.00
,Humidification,30.83,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,12.89,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,1735.07,19.89,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [MJ/m2],Source Natural Gas [MJ/m2],Source Additional Fuel [MJ/m2],Source District Cooling [MJ/m2],Source District Heating [MJ/m2]
,Heating,0.00,7.01,0.00,0.00,0.00
,Cooling,96.92,0.00,0.00,0.00,0.00
,Interior Lighting,233.78,0.00,0.00,0.00,0.00
,Exterior Lighting,46.53,0.00,0.00,0.00,0.00
,Interior Equipment,1003.44,0.00,0.00,0.00,0.00
,Exterior Equipment,135.43,0.00,0.00,0.00,0.00
,Fans,133.47,0.00,0.00,0.00,0.00
,Pumps,17.02,0.00,0.00,0.00,0.00
,Heat Rejection,37.64,0.00,0.00,0.00,0.00
,Humidification,30.83,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,12.89,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,1735.07,19.89,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
AirTerminal:SingleDuct:Uncontrolled

,,Design Size Maximum Air Flow Rate [m3/s]
,BASEMENT DIRECT AIR,5.43
,DATACENTER BOT DIRECT AIR,0.462897
,DATACENTER MID DIRECT AIR,4.41
,DATACENTER TOP DIRECT AIR,0.447669
,DATACENTER BASEMENT DIRECT AIR,21.16
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:VAV:Reheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s],Design Size Maximum Flow Fraction during Reheat [],User-Specified Maximum Flow Fraction during Reheat [],Design Size Maximum Flow per Zone Floor Area during Reheat [m3/s-m2],Design Size Maximum Reheat Water Flow Rate [m3/s],Design Size Reheat Coil Sizing Air Volume Flow Rate [m3/s],Design Size Reheat Coil Sizing Inlet Air Temperature [C],Design Size Reheat Coil Sizing Inlet Air Humidity Ratio [kgWater/kgDryAir]
,CORE_BOTTOM VAV BOX COMPONENT,5.70,0.333503,0.327000,1.86,0.889341,0.500000,0.001142,0.000415,1.86,12.80,0.008000
,CORE_MID VAV BOX COMPONENT,53.67,0.354403,0.339000,18.19,0.945075,0.500000,0.001075,0.007605,18.19,12.80,0.008000
,CORE_TOP VAV BOX COMPONENT,5.20,0.365932,0.349000,1.81,0.975818,0.500000,0.001041,0.001282,1.81,12.80,0.008000
,PERIMETER_BOT_ZN_3 VAV BOX COMPONENT,0.786300,0.303727,0.297000,0.233531,0.809939,0.500000,0.001254,0.000112,0.233531,12.80,0.008000
,PERIMETER_BOT_ZN_2 VAV BOX COMPONENT,0.996743,0.154408,0.200000,0.199349,0.411754,0.500000,0.002467,0.000090,0.199349,12.80,0.008000
,PERIMETER_BOT_ZN_1 VAV BOX COMPONENT,1.14,0.209578,0.232000,0.264377,0.558875,0.500000,0.001818,0.000159,0.264377,12.80,0.008000
,PERIMETER_BOT_ZN_4 VAV BOX COMPONENT,1.25,0.123322,0.200000,0.249598,0.328859,0.500000,0.003089,0.000070,0.249598,12.80,0.008000
,PERIMETER_MID_ZN_3 VAV BOX COMPONENT,7.00,0.341353,0.325000,2.27,0.910275,0.500000,0.001116,0.002926,3.95,12.80,0.008000
,PERIMETER_MID_ZN_2 VAV BOX COMPONENT,10.15,0.151672,0.200000,2.03,0.404460,0.500000,0.002512,0.001991,2.69,12.80,0.008000
,PERIMETER_MID_ZN_1 VAV BOX COMPONENT,10.77,0.221731,0.245000,2.64,0.591282,0.500000,0.001718,0.002983,4.02,12.80,0.008000
,PERIMETER_MID_ZN_4 VAV BOX COMPONENT,10.63,0.144792,0.200000,2.13,0.386111,0.500000,0.002631,0.001739,2.35,12.80,0.008000
,PERIMETER_TOP_ZN_3 VAV BOX COMPONENT,0.787768,0.303161,0.289000,0.227665,0.808429,0.500000,0.001257,0.000388,0.523956,12.80,0.008000
,PERIMETER_TOP_ZN_2 VAV BOX COMPONENT,1.01,0.152990,0.200000,0.201197,0.407973,0.500000,0.002490,0.000259,0.349843,12.80,0.008000
,PERIMETER_TOP_ZN_1 VAV BOX COMPONENT,1.16,0.206768,0.227000,0.262194,0.551382,0.500000,0.001843,0.000393,0.530023,12.80,0.008000
,PERIMETER_TOP_ZN_4 VAV BOX COMPONENT,1.12,0.137487,0.200000,0.223883,0.366632,0.500000,0.002771,0.000240,0.323666,12.80,0.008000
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


Coil:Heating:Water

,,Design Size Rated Capacity [W],Design Size Maximum Water Flow Rate [m3/s],Design Size U-Factor Times Area Value [W/K]
,CORE_BOTTOM VAV BOX REHEAT COIL,18768.97,0.000415,326.68
,CORE_MID VAV BOX REHEAT COIL,344215.22,0.007605,6417.50
,CORE_TOP VAV BOX REHEAT COIL,58032.00,0.001282,1194.39
,PERIMETER_BOT_ZN_3 VAV BOX REHEAT COIL,5065.97,0.000112,96.21
,PERIMETER_BOT_ZN_2 VAV BOX REHEAT COIL,4093.05,0.000090,77.12
,PERIMETER_BOT_ZN_1 VAV BOX REHEAT COIL,7176.07,0.000159,141.89
,PERIMETER_BOT_ZN_4 VAV BOX REHEAT COIL,3183.57,0.000070,57.05
,PERIMETER_MID_ZN_3 VAV BOX REHEAT COIL,132436.47,0.002926,2763.80
,PERIMETER_MID_ZN_2 VAV BOX REHEAT COIL,90122.36,0.001991,1880.67
,PERIMETER_MID_ZN_1 VAV BOX REHEAT COIL,135007.58,0.002983,2817.41
,PERIMETER_MID_ZN_4 VAV BOX REHEAT COIL,78710.65,0.001739,1642.71
,PERIMETER_TOP_ZN_3 VAV BOX REHEAT COIL,17569.83,0.000388,366.59
,PERIMETER_TOP_ZN_2 VAV BOX REHEAT COIL,11730.26,0.000259,244.74
,PERIMETER_TOP_ZN_1 VAV BOX REHEAT COIL,17772.78,0.000393,370.82
,PERIMETER_TOP_ZN_4 VAV BOX REHEAT COIL,10854.46,0.000240,226.48
,CAV_BAS_HEATC,257083.16,0.005680,4813.61
,VAV_BOT WITH REHEAT_HEATC,28407.63,0.000628,432.25
,VAV_MID WITH REHEAT_HEATC,265529.73,0.005867,4038.72
,VAV_TOP WITH REHEAT_HEATC,27450.39,0.000606,417.52
,DATACENTER_EXTRAWATERHEATC,1022298.66,0.022586,19037.57
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],Sum of Air Terminal Minimum Heating Flow Rates [m3/s],Sum of Air Terminal Maximum Flow Rates [m3/s],Adjusted Heating Design Air Flow Rate [m3/s],Adjusted Cooling Design Air Flow Rate [m3/s],Adjusted Main Design Air Flow Rate [m3/s],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [m3/s]
,CAV_BAS,5.43,5.43,5.43,5.43,5.43,5.43,1.00,1.00,5.43
,VAV_BOT WITH REHEAT,4.94,2.81,9.87,2.81,8.81,8.81,0.300000,0.319199,8.81
,VAV_MID WITH REHEAT,46.11,27.26,92.21,27.26,81.31,81.31,0.300000,0.335266,81.31
,VAV_TOP WITH REHEAT,4.63,2.73,9.27,3.41,8.41,8.41,0.300000,0.405949,8.41
,AIRLOOP DATACENTER BASEMENT,21.16,21.16,21.16,21.16,21.16,21.16,1.00,1.00,21.16
,AIRLOOP DATACENTER BOT,0.462897,0.462897,0.462897,0.462897,0.462897,0.462897,1.00,1.00,0.462897
,AIRLOOP DATACENTER MID,4.41,4.41,4.41,4.41,4.41,4.41,1.00,1.00,4.41
,AIRLOOP DATACENTER TOP,0.447669,0.447669,0.447669,0.447669,0.447669,0.447669,1.00,1.00,0.447669
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Controller:OutdoorAir

,,Maximum Outdoor Air Flow Rate [m3/s],Minimum Outdoor Air Flow Rate [m3/s]
,CAV_BAS_OA_CONTROLLER,5.43,1.20
,VAV_BOT WITH REHEAT_OA_CONTROLLER,8.81,
,VAV_MID WITH REHEAT_OA_CONTROLLER,81.31,
,VAV_TOP WITH REHEAT_OA_CONTROLLER,8.41,
,AIRLOOP DATACENTER BASEMENT OA CONTROLLER,21.16,0.338372
,AIRLOOP DATACENTER BOT OA CONTROLLER,0.462897,
,AIRLOOP DATACENTER MID OA CONTROLLER,4.41,
,AIRLOOP DATACENTER TOP OA CONTROLLER,0.447669,
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:Water

,,Design Size Design Coil Load [W],Design Size Design Water Flow Rate [m3/s],Design Size Design Air Flow Rate [m3/s],Design Size Design Inlet Air Humidity Ratio,Design Size Design Inlet Air Temperature [C],Design Size Design Inlet Water Temperature [C],Design Size Design Outlet Air Temperature [C],Design Size Design Outlet Air Humidity Ratio
,CAV_BAS_COOLC,97338.81,0.004141,5.43,0.008802,25.26,6.67,11.42,0.008281
,VAV_BOT WITH REHEAT_COOLC,168843.85,0.007183,8.81,0.008669,26.22,6.67,11.42,0.008281
,VAV_MID WITH REHEAT_COOLC,1587917.88,0.067554,81.31,0.008672,26.51,6.67,11.42,0.008281
