Date/Time,CORE_BOTTOM SUB CAT:Water Use Connections Plant Hot Water Energy [J](Hourly),CORE_MID SUB CAT:Water Use Connections Plant Hot Water Energy [J](Hourly),CORE_TOP SUB CAT:Water Use Connections Plant Hot Water Energy [J](Hourly),DATACENTER_EXTRAWATERHEATC:Heating Coil Heating Rate [W](Hourly),CORE_BOTTOM VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),CORE_MID VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),CORE_TOP VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_BOT_ZN_3 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_BOT_ZN_2 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_BOT_ZN_1 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_BOT_ZN_4 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_MID_ZN_3 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_MID_ZN_2 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_MID_ZN_1 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_MID_ZN_4 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_TOP_ZN_3 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_TOP_ZN_2 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_TOP_ZN_1 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),PERIMETER_TOP_ZN_4 VAV BOX REHEAT COIL:Heating Coil Heating Rate [W](Hourly),CAV_BAS_HEATC:Heating Coil Heating Rate [W](Hourly),VAV_BOT WITH REHEAT_HEATC:Heating Coil Heating Rate [W](Hourly),VAV_MID WITH REHEAT_HEATC:Heating Coil Heating Rate [W](Hourly),VAV_TOP WITH REHEAT_HEATC:Heating Coil Heating Rate [W](Hourly),CAV_BAS_COOLC:Cooling Coil Total Cooling Rate [W](Hourly),VAV_BOT WITH REHEAT_COOLC:Cooling Coil Total Cooling Rate [W](Hourly),VAV_MID WITH REHEAT_COOLC:Cooling Coil Total Cooling Rate [W](Hourly),VAV_TOP WITH REHEAT_COOLC:Cooling Coil Total Cooling Rate [W](Hourly),HEAT PUMP COOLING MODE AIRLOOP DATACENTER BASEMENT:Cooling Coil Total Cooling Rate [W](Hourly),HEAT PUMP COOLING MODE AIRLOOP DATACENTER BOT:Cooling Coil Total Cooling Rate [W](Hourly),HEAT PUMP COOLING MODE AIRLOOP DATACENTER MID:Cooling Coil Total Cooling Rate [W](Hourly),HEAT PUMP COOLING MODE AIRLOOP DATACENTER TOP:Cooling Coil Total Cooling Rate [W](Hourly),HEAT PUMP HEATING MODE AIRLOOP DATACENTER BASEMENT:Heating Coil Heating Rate [W](Hourly),HEAT PUMP HEATING MODE AIRLOOP DATACENTER BOT:Heating Coil Heating Rate [W](Hourly),HEAT PUMP HEATING MODE AIRLOOP DATACENTER MID:Heating Coil Heating Rate [W](Hourly),HEAT PUMP HEATING MODE AIRLOOP DATACENTER TOP:Heating Coil Heating Rate [W](Hourly),DATACENTER_EXTRAELECHEATC:Heating Coil Heating Rate [W](Hourly),HEAT PUMP DX SUPP HEATING COIL AIRLOOP DATACENTER BASEMENT:Heating Coil Heating Rate [W](Hourly),HEAT PUMP DX SUPP HEATING COIL AIRLOOP DATACENTER BOT:Heating Coil Heating Rate [W](Hourly),HEAT PUMP DX SUPP HEATING COIL AIRLOOP DATACENTER MID:Heating Coil Heating Rate [W](Hourly),HEAT PUMP DX SUPP HEATING COIL AIRLOOP DATACENTER TOP:Heating Coil Heating Rate [W](Hourly) 
 01/01  21:00:00,935374.0440727456,9353740.440727456,935374.0440727456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.053174685754,907.6120463879529,0.0,0.0,18938.790958727583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.515613821162,1807.6103147699076,3205.4322739874025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  22:00:00,1636904.5771273047,16369045.771273053,1636904.5771273047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2248.275899126335,1098.0676576881968,0.0,75.15098614243772,18938.74205850089,0.0,0.0,93.34933688916851,0.0,0.0,0.0,0.0,2034.202764021975,1783.7460229146234,2759.8587116744436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  23:00:00,935374.0440727456,9353740.440727456,935374.0440727456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.5554142061999,1056.68287645674,0.0,302.2638815433252,18939.163427017324,0.0,0.0,331.6349653229384,0.0,0.0,0.0,0.0,1923.5809953274959,1764.549010973096,2375.1663274529576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  24:00:00,935374.0440727456,9353740.440727456,935374.0440727456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.892423066868,1349.5190019433815,0.0,546.0658514625094,0.0,0.0,0.0,768.5129243970679,0.0,0.0,0.0,0.0,1940.3772367043492,1745.6746516411197,1999.8824409140228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896.6708174120368,1039.2862154818072,0.0,429.8863124135202,0.0,0.0,0.0,839.6267630968974,0.0,0.0,0.0,0.0,1894.7186078183043,1730.2650126963538,1686.9480581756837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.5147200060239,1371.2378171794156,473.60979924152965,682.4736372284635,0.0,0.0,0.0,1216.6989847040489,0.0,0.0,0.0,0.0,1892.2711922783229,1723.5614147929828,1527.7241823222233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2354.881740080226,1441.169824119347,989.9017569639385,900.3149206373391,0.0,0.0,0.0,1324.7424156677205,0.0,0.0,0.0,0.0,1918.055307630033,1708.9343850098606,1232.0570546217867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2584.223035114329,1508.059560818737,1026.8770189914724,880.1814404838229,0.0,0.0,0.0,1778.2961019190864,0.0,0.0,0.0,0.0,1947.3697336504127,1689.401187414708,867.0508031093312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,20587.10435045973,0.0,0.0,0.0,0.0,12806.759378390716,6888.715640118603,0.0,0.0,6827.443714843569,4512.329214052453,5404.355972505997,3788.5940197290244,0.0,0.0,0.0,920.6238296451306,0.0,0.0,0.3981104383998641,0.0,1938.4733659519725,1651.4711835020783,518.8886953416253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,54580.22616255686,0.0,0.0,0.0,0.0,63773.22056436021,41801.7760935889,32641.24954336946,31938.421170299494,9767.967796399775,9385.14810561974,11908.733319071564,8455.514959466147,0.0,0.0,0.0,0.0,0.0,0.0,1.9510354537724953,0.0,1890.6315382586209,1595.4716883557367,463.7435832790737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
