Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/02  18:00:00,328166048.16519817,826693077.8833808 
 01/02  19:00:00,328166048.16519817,826693077.8833808 
 01/02  20:00:00,328166048.16519817,826693077.8833808 
 01/02  21:00:00,328166048.16519817,826693077.8833808 
 01/02  22:00:00,328166048.16519817,826693077.8833808 
 01/02  23:00:00,337041981.7355389,791858908.6016902 
 01/02  24:00:00,263820706.4686827,530029939.0677935 
 01/03  01:00:00,263820706.4686827,530029939.0677935 
 01/03  02:00:00,263820706.4686827,530029939.0677935 
 01/03  03:00:00,263820706.4686827,530029939.0677935 
 01/03  04:00:00,263820706.4686827,530029939.0677935 
 01/03  05:00:00,263820706.4686827,530029939.0677935 
 01/03  06:00:00,263820706.4686827,530029939.0677935 
 01/03  07:00:00,263820706.4686827,530029939.0677935 
 01/03  08:00:00,394947217.5775492,963413257.5306101 
 01/03  09:00:00,698270595.2545881,1236853616.8250707 
 01/03  10:00:00,696370990.9349483,1236853616.8250707 
 01/03  11:00:00,695404809.6374157,1236853616.8250707 
 01/03  12:00:00,695253096.7043707,1236853616.8250707 
 01/03  13:00:00,695253096.7043707,1236853616.8250707 
 01/03  14:00:00,695853960.7346165,1236853616.8250707 
 01/03  15:00:00,696215330.6538842,1236853616.8250707 
 01/03  16:00:00,700266061.3262615,1236853616.8250707 
 01/03  17:00:00,327878421.51862797,826693077.8833808 
 01/03  18:00:00,328166048.16519817,826693077.8833808 
 01/03  19:00:00,328166048.16519817,826693077.8833808 
 01/03  20:00:00,328166048.16519817,826693077.8833808 
 01/03  21:00:00,328166048.16519817,826693077.8833808 
 01/03  22:00:00,328166048.16519817,826693077.8833808 
 01/03  23:00:00,337041981.7355389,791858908.6016902 
 01/03  24:00:00,263820706.4686827,530029939.0677935 
 01/04  01:00:00,263820706.4686827,530029939.0677935 
 01/04  02:00:00,263820706.4686827,530029939.0677935 
 01/04  03:00:00,263820706.4686827,530029939.0677935 
 01/04  04:00:00,263820706.4686827,530029939.0677935 
 01/04  05:00:00,263820706.4686827,530029939.0677935 
 01/04  06:00:00,263820706.4686827,530029939.0677935 
 01/04  07:00:00,263820706.4686827,530029939.0677935 
 01/04  08:00:00,395470034.3851605,963413257.5306101 
 01/04  09:00:00,711846061.893289,1236853616.8250707 
 01/04  10:00:00,711512611.8932823,1236853616.8250707 
 01/04  11:00:00,708092997.1221145,1236853616.8250707 
 01/04  12:00:00,705774493.6626631,1236853616.8250707 
 01/04  13:00:00,704659479.0264531,1236853616.8250707 
 01/04  14:00:00,706517836.7534697,1236853616.8250707 
 01/04  15:00:00,708004475.6464173,1236853616.8250707 
 01/04  16:00:00,711846061.893289,1236853616.8250707 
 01/04  17:00:00,328166048.16519817,826693077.8833808 
 01/04  18:00:00,328166048.16519817,826693077.8833808 
 01/04  19:00:00,328166048.16519817,826693077.8833808 
 01/04  20:00:00,328166048.16519817,826693077.8833808 
 01/04  21:00:00,328166048.16519817,826693077.8833808 
 01/04  22:00:00,328166048.16519817,826693077.8833808 
 01/04  23:00:00,337041981.7355389,791858908.6016902 
 01/04  24:00:00,263820706.4686827,530029939.0677935 
 01/05  01:00:00,263820706.4686827,530029939.0677935 
